Single Node,2 Nodes,3 Nodes,4 Nodes,5 Nodes,6 Nodes,7 Nodes,8 Nodes,9 Nodes,10 Nodes,11 Nodes,12 Nodes,13 Nodes,14 Nodes,15 Nodes
19939588194,18059680506,14606971564,13017954820,10164235307,10781229674,7171327658,8770156213,8880531538,6346277508,4321373132,4919293820,4641583538,6332702894,6965013671
14493958040,19342553131,17153594062,16096652935,9682977587,11031400379,6969383337,8487888923,9020051690,6504028645,4244466350,5087494321,4633601925,6039897860,7027212067
20925597275,20519671898,18824547353,13122381633,9983016364,10733944223,7589753708,8569101151,9016894829,6730896504,4441783427,4938115401,4788950255,6177161424,6951983537
17623302521,17948286924,14683291292,15251844114,10750168519,11649335546,7010055209,8848101961,8935403133,6344171335,4336226845,4899997355,4690204924,6026734615,7007446676
16716937792,18813844412,16831678622,12120651771,9983577739,11164371469,7592666684,8753701948,8657003931,6392960211,4394329355,5096808855,4791044377,6191988117,6975546475
17118463650,15989341478,15619425079,14001963145,9722130984,11292273310,6878509204,8374268855,8987341166,6431920270,4469296834,5526227502,4744863808,6371521670,7023141829
18982464876,20215912445,15375434498,14155214267,11015869535,10728005407,7305226300,8954808288,8824816400,6323751561,4510570981,5186534381,4565890598,6192111728,7009903524
19273033956,16602308027,15684976916,13933847041,11472825009,12003602497,7021719269,8427778514,8775064731,6263825196,4384791284,5364114416,4620305394,6193564654,6956546526
16465261305,16716026141,15682719549,11917555614,10845270402,11004947721,6993848135,8589407595,8940546895,6453095670,4509814402,4874149511,4638165801,6265986542,7065359856
19657984787,17435431222,17231094351,13138904785,9821737687,11398927605,7504423038,8756907775,9097202537,6295786898,4513041316,5671973603,4508168254,6132962265,7065659866
20634674592,16108514031,16459715470,15101559388,9858725300,10710890325,7376663829,8463962136,8831277359,6296009719,4277989724,5422377758,4741438558,6132653269,7065116593
12933840260,18820337597,17297077609,13530356545,10123385773,10945916944,7021410040,8567819775,8820472811,6615035123,4400599419,5019749979,4529466349,6198566656,7016535968
18128335136,22073555592,15363835014,12452950507,10108022884,10532218879,7362262684,8538944964,8730040028,6821218200,4496183916,5104361820,4660304256,6132652165,7013256663
14502105093,19399309056,14163045822,13631068691,9860459558,10805207996,6956770230,9003282122,8931200197,6365763574,4488422276,5184146465,4598760704,6326514003,7021652666
19759928196,18925716206,17110130838,13056939388,10238204849,10457610792,7280578176,8749544078,9378988224,6688960380,4435297337,5049635158,4778251896,6198556646,7016529666
17377792655,16298716637,15339245533,12627302922,10679396242,11423525040,7015728150,8845306841,9263503753,6514984233,4432120209,5184849850,4761921151,6132666363,6986546653
14744760727,18251321160,15775451452,13663055975,10210593779,10692716736,7015920064,9182308610,8871708471,6527267719,4425987193,5003386788,4819083650,6132996596,6941542133
12758074124,17543292422,18316216356,15956939057,10507526627,11558640322,7140556891,8687007195,9075759980,6386161582,4421448203,5581557999,4533020495,6195653365,6955453236
14744760727,17102306387,16815415781,13246757414,10288405547,10950976491,7175888338,8789994521,8574943635,6647750832,4332958641,5099454714,4686387038,6132696653,6998454652
19015598847,17480865356,15327546529,14797702472,10320828545,11332273123,7302947889,8980816832,8979939371,6810653882,4375637444,4932135350,4547283777,6189546664,7032165223
22176453581,18562835923,14929603135,11611875399,10016863981,10477981429,7265064603,8758718229,8801118591,6459808237,4400927503,5572369796,4611490783,6195650023,7012653566
21683818340,18425661036,15443738375,14321022025,10128746540,10484920751,7662603812,9559303394,9010423963,6225973281,4247759130,5076983462,4605038443,6265986566,7012663985
13299654459,16296658062,15680186524,12392907007,9889004686,10642717924,7141678442,8277925953,8991806760,6547151459,4334858361,4923418972,4643791642,6298565465,7032566596
18859230931,18384795778,13994196692,13496011822,10884249331,9873055536,6891643378,8673517252,8596297465,6270353771,4395742719,5157844203,4650535006,6216956596,7065999836
17065135445,17754273006,17362640542,12195305424,10234592774,11034079819,7025785209,8708905824,9039311630,6407221620,4716249496,5107650138,4613414972,6204196535,7065899696
15122677033,17560405706,13811972819,12486539712,10264159875,10744441457,6953368973,8677672901,8887441267,6399764059,4507657401,5093967482,4459305642,6206565964,7032656596
14048692778,16987720768,15792187570,12563036669,10886569284,9907550729,6944038061,8922056842,8811046491,6526017625,4388176676,5223338040,4719576994,6198565646,6998545365
14327644913,17101991579,16647049199,15201058029,10261671506,10740827679,6889147776,8380558718,8752972514,6629891274,4403391770,5113263157,4763593347,6198565666,6985454712
15598204369,16726341691,15470050369,12517660633,10448868995,10976188292,7065098613,8485951689,8743865608,6770166373,4475326451,5002620416,4771421687,6198566232,6985485415
15175856808,18945200543,15901653786,14290078359,10233226427,11687274125,7904192789,8798580074,8853972157,6325835198,4312415086,4964775485,4759121530,6132663630,6945424158
