Single Node,2Nodes,3Nodes,4Nodes,5Nodes,6Nodes,7Nodes,8Nodes,9Nodes,10Nodes,11Nodes,12Nodes,13Nodes,14Nodes,15Nodes
784,668.8,419.7,445.2,360.1,302.8,230.3,224.3,227.1,225.7,225.2,263.4,225.6,233.9,231.1
787.1,619.4,415.1,450.6,362.1,292.5,232.5,240.9,227.2,222,219,235.1,224.7,229.1,221.1
756.1,641.1,423.1,453.1,375.5,298.3,224.8,232.8,228.1,220.5,222.3,242,223.6,224.3,226
782.5,538.3,426.5,451.3,365.2,290.6,226.9,226.2,240.8,227.1,222.7,230.4,225.2,227.7,218.5
784.3,538.7,445.1,449.2,366.2,304.2,228.7,234.9,228.7,223.5,222.6,227.4,229.8,224.8,224.5
771.5,533.8,432.2,446.3,345.9,310.5,228.2,234.1,233.8,232.9,219.4,221.7,237.9,224.9,243.4
754.3,493.1,426.6,449.2,361.2,304.9,226.3,231.6,233.9,226.3,217.6,229.4,227.4,227,224.7
783.4,543.6,428.5,451.3,365.3,301,228.9,234.6,233.3,244.9,218.4,231,228.8,222.2,230.4
762.3,499.3,423.2,451.9,366.1,311.6,229.1,230.5,231.1,226.3,222.1,234.4,230.4,222.4,229.9
781.6,538.3,428.1,457.3,371.6,310.5,224,231.9,240.3,227.5,220,225.7,226.6,238.5,220
782,622.5,427.3,451.6,372.9,306.7,228.5,231.6,235.6,231.2,216.6,226.3,228.3,221.3,225.7
784.3,442.6,422.5,449.8,377.8,288.3,228.6,226.3,228.3,229.3,223.5,225.6,220.2,223.5,216
781.8,460.3,426.1,448.2,364.8,294.3,229.3,233.6,226.4,228.4,226.6,230.1,219.2,226.2,223.8
752.3,620.1,429.4,443.6,369,291.7,231.5,230.4,229.5,231.2,220.5,235.2,226.2,226.1,230.1
769.2,613.5,422,451.1,360.1,305.3,234.6,234.9,230.1,233.3,218.5,220.1,223.2,228.2,223.6
761.3,539.4,421.9,452,375.2,306.7,238.3,229.3,229.4,228.2,227.6,228.9,230.4,224.3,221.3
781.4,611.2,427.3,449.3,362.1,300.1,233.1,235.2,231.1,227.2,238,226.5,230.1,224.6,237.1
763.5,620.3,425,447.8,365.1,302.6,230.5,240.3,233.1,226.3,226.6,220.3,232.5,225.6,225
769.4,438.7,422.5,453.2,376.5,302.4,234.3,230.5,232.6,224.2,222.7,228.3,228.5,228.1,217.4
780,612.2,418.2,450.1,361.2,305.4,228.1,233.4,229.4,228.1,231.2,224.3,229.2,231.2,217.4
759.9,615.8,419.9,455.2,361.3,311.4,229.6,241.4,226.5,225.3,235.2,226.5,231.2,226.3,223.8
783.6,620.9,426.3,449.9,346.9,299.3,223.9,230.4,224.8,226.1,223.2,229.5,225.6,225.3,221.2
782.1,614.3,425.5,448.9,361.4,306.1,229.6,228.5,234.6,231.1,226.5,219.2,224.9,225.3,218.5
785.2,480.3,422.1,445.5,363.6,305.4,231.1,230.1,229.5,225.4,223.4,221.1,228.3,221.3,222.3
781.3,544.5,426.9,449.2,367.1,312.2,230.6,228.2,226.4,226.3,228.5,215.4,227.4,229.3,220.9
776.2,621.3,425.8,448.3,372.6,311.8,234.7,229.5,229.5,228.4,223.1,219.3,232.5,224.5,222.7
786.5,580.3,419.2,446.2,366.9,305.1,229.5,229.5,241.3,229.1,220,225.3,226.1,223.7,216.7
750.3,616.3,426.3,449.2,371.8,306.6,229.6,230.4,243.1,223.4,223.2,229.2,225.9,229.4,225
759.7,613.7,423.2,450.1,365.8,314.2,228.5,231.5,228.1,220.4,227.6,230.2,226.3,228,220.9
762.3,642.9,428.7,449.2,370.5,312.9,224.1,230.6,230.8,228.2,221.3,235.3,223.4,227.3,217.4
